KraterNr. mit Profilbuchstabe, Vegetation, Latitude(Tiefpunkt), Longitude(Tiefpunkt), Hillslope Azimuth, Kraterradius (m), Höhenunterschied (m), Wasserscheide erkennbar?, r1(D 1D)(m), t1(D 1D)(a), t2(D 1D)(a), D (1D)(m^2/a),   Volume to ref Margin (m3), r1 (ref 2D)(m), t1(ref 2D)(a), t2 (ref 2D)(a), D 2D 0.9 to ref margin (m^2/a), D 2D from fit to ref margin (m^2/a), Volume to devide (m3), r1 (devide 2D)(m), t1(devide 2D)(a), t2(devide 2D) (a), D 2D 0.9 to devide (m^2/a), D 2D from fit to devide (m^2/a)
1a,Waldlichtung,  50.77965634, 6.90237429 ,  317.3441324747067 ,  5.17581175709185 ,  1.5245649065290934 ,    ,  1.91980513942696 ,  12.443239622427889 ,  90.44323962242788 ,  0.002976492742778715 ,  23.42828673486482 ,  3.5253013928774948 ,  67.49848664008498 ,  145.498486640085 ,  0.012963926031851578 ,  0.009730167508508811 ,  26.868900420551743 ,  3.025544444466675 ,  40.48774127215635 ,  118.48774127215634 ,  0.013006311737533804 ,  0.011962497350377582
1a,Waldlichtung, 50.77965634, 6.90237429 ,  137.34413247470675 ,  7.24613645992859 ,  1.2311349051340699 ,  True ,  5.967226181378915 ,  164.35622958690982 ,  242.35622958690982 ,  0.0029764927427787117 ,  17.889996214994493 ,  4.36172992792838 ,  44.3203594671328 ,  122.3203594671328 ,  0.012963926031851574 ,  0.011040042792592544 ,  23.793731436756357 ,  4.8614868763392 ,  63.848304120970006 ,  141.84830412097 ,  0.013006311737533806 ,  0.010827903869516941
1b,Waldlichtung,  50.77965087, 6.90237455 ,  1.1885386092272654 ,  5.153440988209835 ,  1.2605708530970787 ,  True ,  4.543397609858294 ,  272.1856398846787 ,  350.1856398846787 ,  0.001569118629467005 ,  31.51449442840332 ,  4.675009804979247 ,  362.53931409207394 ,  440.53931409207394 ,  0.004960073681412594 ,  0.005049328813851024 ,  36.03420979022575 ,  4.718942787426002 ,  404.9244627078906 ,  482.9244627078906 ,  0.005741994936886207 ,  0.005120611741860567
1b,Waldlichtung, 50.77965087, 6.90237455 ,  181.18853860922727 ,  4.122752790567869 ,  1.097712489536832 ,    ,  3.6003015329832966 ,  250.5748533804387 ,  328.5748533804387 ,  0.001569118629467005 ,  14.085824935290837 ,  3.4686893378623433 ,  189.0084607030418 ,  267.0084607030418 ,  0.004960073681412581 ,  0.00430266374251263 ,  14.817911795705376 ,  3.4247563554155893 ,  173.65892596683435 ,  251.65892596683435 ,  0.005741994936886211 ,  0.004509855600052451
1c,Waldlichtung,  50.77965748, 6.90236338 ,  233.39804636915446 ,  4.178690267611702 ,  1.309147862025668 ,  True ,  3.795748057439009 ,  368.00694653263366 ,  446.00694653263366 ,  0.0008756117691424722 ,  10.536600381398388 ,  3.695637972915197 ,  280.06947709329114 ,  358.06947709329114 ,  0.0027159789029927266 ,  0.002179240646561986 ,  13.351960134181354 ,  3.7599186289126427 ,  331.68805148262715 ,  409.68805148262715 ,  0.004162169883663027 ,  0.002104287610644625
1c,Waldlichtung, 50.77965748, 6.90236338 ,  53.39804636915446 ,  5.223362834514628 ,  1.309720284598228 ,    ,  4.949923501256344 ,  687.0199086662343 ,  765.0199086662343 ,  0.0008756117691424739 ,  39.45774989695777 ,  5.050033585780156 ,  1117.1133306982344 ,  1195.1133306982344 ,  0.0027159789029927456 ,  0.0022755094184049862 ,  41.41703984780182 ,  4.98575292978271 ,  799.288271513129 ,  877.288271513129 ,  0.004162169883663017 ,  0.0032066928769598512
2b,Waldlichtung,  50.77965752, 6.90269953 ,  44.177629019923785 ,  5.0949958616573525 ,  0.6574319022042232 ,  True ,  4.831994725610483 ,  697.545066220369 ,  775.545066220369 ,  0.0009470602955624151 ,  12.504256877889652 ,  4.794055209000605 ,  602.3725690744169 ,  680.3725690744169 ,  0.002774756789627546 ,  0.002659792429087956 ,  16.114813128017076 ,  4.900806136097934 ,  965.1298688358844 ,  1043.1298688358843 ,  0.003251660392804482 ,  0.0023358679710538685
2b,Waldlichtung, 50.77965752, 6.90269953 ,  224.17762901992378 ,  6.113995033988822 ,  0.692862374441944 ,  True ,  5.50921551468572 ,  336.78360856738254 ,  414.78360856738254 ,  0.0009470602955624127 ,  5.940738606851526 ,  5.547155031295598 ,  363.1059239566267 ,  441.1059239566267 ,  0.0027747567896275792 ,  0.002083575548570905 ,  10.038327582917162 ,  5.440404104198269 ,  296.628807228285 ,  374.628807228285 ,  0.0032516603928044842 ,  0.0026557852407395836
2a,Waldlichtung,  50.77966319, 6.90270869 ,  179.71280551543902 ,  5.157953592565281 ,  0.6151450020927314 ,  True ,  3.5872193884235264 ,  73.07004483560338 ,  151.07004483560337 ,  0.0028337161578164865 ,  9.208288367192708 ,  4.3125761202275 ,  181.19374810077449 ,  259.1937481007745 ,  0.006638032018299486 ,  0.005364963529628264 ,  11.916205340245257 ,  3.8000876932997434 ,  92.60019447655408 ,  170.60019447655407 ,  0.01104689864186708 ,  0.008811889049985942
2a,Waldlichtung, 50.77966319, 6.90270869 ,  359.712805515439 ,  8.252725748104453 ,  0.46343950544093104 ,  True ,  5.670370041673185 ,  69.75342394759063 ,  147.75342394759065 ,  0.0028337161578164847 ,  7.72193683011975 ,  4.9450133098692115 ,  43.692032567438254 ,  121.69203256743825 ,  0.0066380320182994985 ,  0.013167987728115263 ,  15.456971002117912 ,  5.457501736796968 ,  60.620719794532306 ,  138.6207197945323 ,  0.011046898641867066 ,  0.01512677350174054
2c,Waldlichtung,  50.77966231, 6.90270744 ,  309.3657333459465 ,  6.256605294471253 ,  0.4860007149833905 ,  True ,  5.327955321663899 ,  205.81837011145043 ,  283.81837011145046 ,  0.002045667010980528 ,  3.3623338844024953 ,  4.795368926910291 ,  111.06528018778484 ,  189.06528018778482 ,  0.001646753956022285 ,  0.00443453128138871 ,  12.795999480377839 ,  5.197061242435948 ,  173.59880015993446 ,  251.59880015993446 ,  0.0053746062787595784 ,  0.007169821743671056
